"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Hong Kong Special Administrative Region of China","2014","Male","Not applicable","Number","93.63424"
"Hong Kong Special Administrative Region of China","2014","Female","Not applicable","Number","92.29264"
"Hong Kong Special Administrative Region of China","2013","All genders","Not applicable","Number","95.45194"
"Hong Kong Special Administrative Region of China","2013","Female","Not applicable","Number","94.68738"
"Hong Kong Special Administrative Region of China","2013","Male","Not applicable","Number","96.17373"
"Hong Kong Special Administrative Region of China","2012","All genders","Not applicable","Number","98.32371"
"Hong Kong Special Administrative Region of China","2012","Male","Not applicable","Number","98.45171"
"Hong Kong Special Administrative Region of China","2012","Female","Not applicable","Number","98.18803"
"Hong Kong Special Administrative Region of China","2011","All genders","Not applicable","Number","99.84529"
"Hong Kong Special Administrative Region of China","2011","Female","Not applicable","Number","99.96809"
"Hong Kong Special Administrative Region of China","2011","Male","Not applicable","Number","99.72972"
"Hong Kong Special Administrative Region of China","2010","All genders","Not applicable","Number","101.73233"
"Hong Kong Special Administrative Region of China","2010","Male","Not applicable","Number","100.82029"
"Hong Kong Special Administrative Region of China","2010","Female","Not applicable","Number","102.70242"
"Hong Kong Special Administrative Region of China","2009","All genders","Not applicable","Number","97.5694"
"Hong Kong Special Administrative Region of China","2009","Female","Not applicable","Number","97.96227"
"Hong Kong Special Administrative Region of China","2009","Male","Not applicable","Number","97.1971"
"Hong Kong Special Administrative Region of China","2008","All genders","Not applicable","Number","96.50387"
"Hong Kong Special Administrative Region of China","2008","Male","Not applicable","Number","96.56305"
"Hong Kong Special Administrative Region of China","2008","Female","Not applicable","Number","96.4418"
"Hong Kong Special Administrative Region of China","2007","All genders","Not applicable","Number","95.03006"
"Hong Kong Special Administrative Region of China","2007","Female","Not applicable","Number","95.10048"
"Hong Kong Special Administrative Region of China","2007","Male","Not applicable","Number","94.96279"
"Hong Kong Special Administrative Region of China","2006","All genders","Not applicable","Number","94.14574"
"Hong Kong Special Administrative Region of China","2006","Male","Not applicable","Number","93.99894"
"Hong Kong Special Administrative Region of China","2006","Female","Not applicable","Number","94.29969"
"Hungary","2014","Male","Not applicable","Number","95.01767"
"Hungary","2014","Female","Not applicable","Number","93.89489"
"Hungary","2014","All genders","Not applicable","Number","94.47102"
"Indonesia","2014","Male","Not applicable","Number","83.55242"
"Indonesia","2014","All genders","Not applicable","Number","84.77223"
"Indonesia","2014","Female","Not applicable","Number","86.05611"
"Indonesia","2013","All genders","Not applicable","Number","80.37093"
"Indonesia","2013","Female","Not applicable","Number","81.6566"
"Indonesia","2013","Male","Not applicable","Number","79.14655"
"Indonesia","2012","All genders","Not applicable","Number","89.77695"
"Indonesia","2012","Male","Not applicable","Number","89.48001"
"Indonesia","2012","Female","Not applicable","Number","90.08793"
"Indonesia","2011","All genders","Not applicable","Number","82.92318"
"Indonesia","2011","Female","Not applicable","Number","84.328"
"Indonesia","2011","Male","Not applicable","Number","81.57768"
"Indonesia","2010","All genders","Not applicable","Number","75.36011"
"Indonesia","2010","Male","Not applicable","Number","73.5494"
"Indonesia","2010","Female","Not applicable","Number","77.2449"
"Indonesia","2009","All genders","Not applicable","Number","67.93747"
"Indonesia","2009","Female","Not applicable","Number","66.57262"
"Indonesia","2009","Male","Not applicable","Number","69.25296"
"Indonesia","2008","All genders","Not applicable","Number","69.78748"
"Indonesia","2008","Male","Not applicable","Number","70.02451"
"Indonesia","2008","Female","Not applicable","Number","69.54263"
"Indonesia","2007","All genders","Not applicable","Number","70.404"
"Indonesia","2007","Male","Not applicable","Number","70.18909"
"Indonesia","2007","Female","Not applicable","Number","70.62532"
"Indonesia","2006","Male","Not applicable","Number","64.91887"
"Indonesia","2006","Female","Not applicable","Number","65.36097"
"Indonesia","2006","All genders","Not applicable","Number","65.13661"
"Iran, Islamic Republic of","2014","Male","Not applicable","Number","92.66531"
"Iran, Islamic Republic of","2014","All genders","Not applicable","Number","91.90073"
"Iran, Islamic Republic of","2014","Female","Not applicable","Number","91.06157"
"Iran, Islamic Republic of","2013","All genders","Not applicable","Number","98.65006"
"Iran, Islamic Republic of","2013","Female","Not applicable","Number","98.41325"
"Iran, Islamic Republic of","2013","Male","Not applicable","Number","98.86532"
"Iran, Islamic Republic of","2009","All genders","Not applicable","Number","79.87399"
"Iran, Islamic Republic of","2009","Male","Not applicable","Number","69.04217"
"Iran, Islamic Republic of","2009","Female","Not applicable","Number","91.52581"
"Iran, Islamic Republic of","2007","All genders","Not applicable","Number","83.93782"
"Iran, Islamic Republic of","2007","Female","Not applicable","Number","83.85773"
"Iran, Islamic Republic of","2007","Male","Not applicable","Number","84.01336"
"Iran, Islamic Republic of","2006","All genders","Not applicable","Number","82.03183"
"Iran, Islamic Republic of","2006","Male","Not applicable","Number","81.54726"
"Iran, Islamic Republic of","2006","Female","Not applicable","Number","82.5408"
"Israel","2014","All genders","Not applicable","Number","99.99843"
"Israel","2014","Female","Not applicable","Number","100.31235"
"Israel","2014","Male","Not applicable","Number","99.70131"
"Jamaica","2014","Male","Not applicable","Number","84.07502"
"Jamaica","2014","Female","Not applicable","Number","89.40981"
"Jamaica","2014","All genders","Not applicable","Number","86.6761"
"Jamaica","2013","All genders","Not applicable","Number","73.64746"
"Jamaica","2013","Female","Not applicable","Number","73.44003"
"Jamaica","2013","Male","Not applicable","Number","73.84508"
"Japan","2014","Female","Not applicable","Number","101.78641"
"Japan","2014","Male","Not applicable","Number","101.73403"
"Japan","2014","All genders","Not applicable","Number","101.75957"
"Japan","2013","Male","Not applicable","Number","99.89605"
"Japan","2013","All genders","Not applicable","Number","100.00233"
"Japan","2013","Female","Not applicable","Number","100.114"
"Jordan","2008","Male","Not applicable","Number","77.77501"
"Jordan","2008","Female","Not applicable","Number","84.58727"
"Jordan","2008","All genders","Not applicable","Number","81.08454"
"Jordan","2006","Female","Not applicable","Number","84.6528"
"Jordan","2006","All genders","Not applicable","Number","81.55327"
"Jordan","2006","Male","Not applicable","Number","78.63102"
"Kazakhstan","2015","Female","Not applicable","Number","109.99153"
"Kazakhstan","2015","All genders","Not applicable","Number","108.54344"
"Kazakhstan","2015","Male","Not applicable","Number","107.17649"
"Kazakhstan","2014","All genders","Not applicable","Number","105.74163"
"Kazakhstan","2014","Male","Not applicable","Number","104.76388"
"Kazakhstan","2014","Female","Not applicable","Number","106.77474"
"Kazakhstan","2013","All genders","Not applicable","Number","102.39637"
"Kazakhstan","2013","Female","Not applicable","Number","102.68641"
"Kazakhstan","2013","Male","Not applicable","Number","102.11976"
"Kazakhstan","2012","Female","Not applicable","Number","102.71402"
"Kazakhstan","2012","Male","Not applicable","Number","103.26477"
"Kazakhstan","2012","All genders","Not applicable","Number","102.99477"
"Kazakhstan","2011","Female","Not applicable","Number","104.04259"
"Kazakhstan","2011","All genders","Not applicable","Number","104.99791"
"Kazakhstan","2011","Male","Not applicable","Number","105.92151"
"Kazakhstan","2010","Female","Not applicable","Number","101.59983"
"Kazakhstan","2010","Male","Not applicable","Number","102.27785"
"Kazakhstan","2010","All genders","Not applicable","Number","101.94417"
"Kazakhstan","2009","Female","Not applicable","Number","95.03515"
"Kazakhstan","2009","All genders","Not applicable","Number","95.79111"
"Kazakhstan","2009","Male","Not applicable","Number","96.52477"
"Kenya","2009","Female","Not applicable","Number","78.00911"
"Kenya","2009","All genders","Not applicable","Number","81.72443"
"Kenya","2009","Male","Not applicable","Number","85.40677"
"Kenya","2008","All genders","Not applicable","Number","79.89324"
"Kenya","2008","Male","Not applicable","Number","93.55941"
"Kenya","2008","Female","Not applicable","Number","66.10433"
"Kyrgyzstan","2014","Female","Not applicable","Number","87.37875"
"Kyrgyzstan","2014","All genders","Not applicable","Number","88.01712"
"Kyrgyzstan","2014","Male","Not applicable","Number","88.62934"
"Kyrgyzstan","2013","Male","Not applicable","Number","88.29865"
"Kyrgyzstan","2013","All genders","Not applicable","Number","87.9465"
"Kyrgyzstan","2013","Female","Not applicable","Number","87.57964"
"Kyrgyzstan","2012","Female","Not applicable","Number","92.08891"
"Kyrgyzstan","2012","All genders","Not applicable","Number","91.31993"
"Kyrgyzstan","2012","Male","Not applicable","Number","90.57961"
"Kyrgyzstan","2011","Male","Not applicable","Number","89.4299"
"Kyrgyzstan","2011","All genders","Not applicable","Number","89.61741"
"Kyrgyzstan","2011","Female","Not applicable","Number","89.81145"
"Kyrgyzstan","2010","Female","Not applicable","Number","84.02791"
"Kyrgyzstan","2010","All genders","Not applicable","Number","83.26612"
"Kyrgyzstan","2010","Male","Not applicable","Number","82.52744"
"Kyrgyzstan","2009","Male","Not applicable","Number","79.94127"
"Kyrgyzstan","2009","All genders","Not applicable","Number","80.95096"
"Kyrgyzstan","2009","Female","Not applicable","Number","81.98784"
"Kyrgyzstan","2008","Female","Not applicable","Number","83.59543"
"Kyrgyzstan","2008","All genders","Not applicable","Number","82.84542"
"Kyrgyzstan","2008","Male","Not applicable","Number","82.11162"
"Kyrgyzstan","2007","All genders","Not applicable","Number","82.88473"
"Kyrgyzstan","2007","Male","Not applicable","Number","83.71368"
"Kyrgyzstan","2007","Female","Not applicable","Number","82.04069"
"Lao People's Democratic Republic","2014","Male","Not applicable","Number","53.62298"
"Lao People's Democratic Republic","2014","All genders","Not applicable","Number","51.87591"
"Lao People's Democratic Republic","2014","Female","Not applicable","Number","50.07598"
"Lao People's Democratic Republic","2013","Female","Not applicable","Number","44.61052"
"Lao People's Democratic Republic","2013","All genders","Not applicable","Number","46.87578"
"Lao People's Democratic Republic","2013","Male","Not applicable","Number","49.07718"
"Lao People's Democratic Republic","2012","Male","Not applicable","Number","47.24861"
"Lao People's Democratic Republic","2012","All genders","Not applicable","Number","44.8649"
"Lao People's Democratic Republic","2012","Female","Not applicable","Number","42.41471"
"Lao People's Democratic Republic","2011","Male","Not applicable","Number","42.9871"
"Lao People's Democratic Republic","2011","Female","Not applicable","Number","37.6653"
"Lao People's Democratic Republic","2011","All genders","Not applicable","Number","40.3615"
"Lao People's Democratic Republic","2010","Male","Not applicable","Number","41.67771"
"Lao People's Democratic Republic","2010","All genders","Not applicable","Number","38.65744"
"Lao People's Democratic Republic","2010","Female","Not applicable","Number","35.5592"
"Lao People's Democratic Republic","2009","Male","Not applicable","Number","46.31699"
"Lao People's Democratic Republic","2009","Female","Not applicable","Number","39.26021"
"Lao People's Democratic Republic","2009","All genders","Not applicable","Number","42.83277"
"Lao People's Democratic Republic","2008","Male","Not applicable","Number","43.00827"
"Lao People's Democratic Republic","2008","Female","Not applicable","Number","37.33955"
"Lao People's Democratic Republic","2008","All genders","Not applicable","Number","40.20679"
"Lao People's Democratic Republic","2007","Female","Not applicable","Number","37.48139"
"Lao People's Democratic Republic","2007","All genders","Not applicable","Number","40.83804"
"Lao People's Democratic Republic","2007","Male","Not applicable","Number","44.12262"
"Lao People's Democratic Republic","2006","Female","Not applicable","Number","36.40653"
"Lao People's Democratic Republic","2006","Male","Not applicable","Number","42.99342"
"Lao People's Democratic Republic","2006","All genders","Not applicable","Number","39.73488"
"Latvia","2014","Male","Not applicable","Number","115.73422"
"Latvia","2014","All genders","Not applicable","Number","115.66952"
"Latvia","2014","Female","Not applicable","Number","115.60011"
"Lebanon","2013","Female","Not applicable","Number","43.39456"
"Lebanon","2013","All genders","Not applicable","Number","39.32621"
"Lebanon","2013","Male","Not applicable","Number","35.03137"
"Lebanon","2012","Male","Not applicable","Number","44.73679"
"Lebanon","2012","All genders","Not applicable","Number","48.52869"
"Lebanon","2012","Female","Not applicable","Number","52.10873"
"Lebanon","2011","Female","Not applicable","Number","50.41894"
"Lebanon","2011","All genders","Not applicable","Number","48.04872"
"Lebanon","2011","Male","Not applicable","Number","45.52697"
"Lebanon","2010","Male","Not applicable","Number","45.73511"
"Lebanon","2010","All genders","Not applicable","Number","49.5914"
"Lebanon","2010","Female","Not applicable","Number","53.1929"
"Lebanon","2009","Female","Not applicable","Number","53.95967"
"Lebanon","2009","All genders","Not applicable","Number","49.55655"
"Lebanon","2009","Male","Not applicable","Number","44.87631"
"Lebanon","2008","Male","Not applicable","Number","45.07242"
"Lebanon","2008","All genders","Not applicable","Number","50.18868"
"Lebanon","2008","Female","Not applicable","Number","55.01783"
"Lesotho","2014","All genders","Not applicable","Number","29.28214"
"Lesotho","2013","All genders","Not applicable","Number","29.34602"
"Lesotho","2006","All genders","Not applicable","Number","21.39082"
"Liechtenstein","2012","Male","Not applicable","Number","107.17703"
"Liechtenstein","2012","All genders","Not applicable","Number","101.43885"
"Liechtenstein","2012","Female","Not applicable","Number","95.67308"
"Lithuania","2013","Female","Not applicable","Number","98.77318"
"Lithuania","2013","Male","Not applicable","Number","101.35397"
"Lithuania","2013","All genders","Not applicable","Number","100.10231"
"Luxembourg","2014","Male","Not applicable","Number","107.25236"
"Luxembourg","2014","All genders","Not applicable","Number","107.37049"
"Luxembourg","2014","Female","Not applicable","Number","107.49458"
"Luxembourg","2013","Female","Not applicable","Number","105.49519"
"Luxembourg","2013","All genders","Not applicable","Number","104.90983"
"Luxembourg","2013","Male","Not applicable","Number","104.35169"
"Macao Special Administrative Region of China","2014","Female","Not applicable","Number","94.72874"
"Macao Special Administrative Region of China","2014","All genders","Not applicable","Number","90.67608"
"Macao Special Administrative Region of China","2014","Male","Not applicable","Number","86.89408"
"Macao Special Administrative Region of China","2013","Male","Not applicable","Number","87.68043"
"Macao Special Administrative Region of China","2013","All genders","Not applicable","Number","86.84119"
"Macao Special Administrative Region of China","2013","Female","Not applicable","Number","85.94478"
"Macao Special Administrative Region of China","2012","Female","Not applicable","Number","86.00879"
"Macao Special Administrative Region of China","2012","All genders","Not applicable","Number","85.4733"
"Macao Special Administrative Region of China","2012","Male","Not applicable","Number","84.96981"
"Macao Special Administrative Region of China","2011","Male","Not applicable","Number","87.66372"
"Macao Special Administrative Region of China","2011","All genders","Not applicable","Number","87.68388"
"Macao Special Administrative Region of China","2011","Female","Not applicable","Number","87.70518"
"Macao Special Administrative Region of China","2010","Female","Not applicable","Number","86.6088"
"Macao Special Administrative Region of China","2010","All genders","Not applicable","Number","90.73458"
"Macao Special Administrative Region of China","2010","Male","Not applicable","Number","94.66077"
"Macao Special Administrative Region of China","2009","Male","Not applicable","Number","77.74356"
"Macao Special Administrative Region of China","2009","All genders","Not applicable","Number","81.57178"
"Macao Special Administrative Region of China","2009","Female","Not applicable","Number","85.59247"
"Macao Special Administrative Region of China","2008","Female","Not applicable","Number","84.04582"
"Macao Special Administrative Region of China","2008","All genders","Not applicable","Number","80.67606"
"Macao Special Administrative Region of China","2008","Male","Not applicable","Number","77.44099"
"Macao Special Administrative Region of China","2007","Male","Not applicable","Number","82.04188"
"Macao Special Administrative Region of China","2007","All genders","Not applicable","Number","85.96305"
"Macao Special Administrative Region of China","2007","Female","Not applicable","Number","90.0081"
"Macao Special Administrative Region of China","2006","Female","Not applicable","Number","99.56675"
"Macao Special Administrative Region of China","2006","All genders","Not applicable","Number","97.70789"
"Macao Special Administrative Region of China","2006","Male","Not applicable","Number","95.90659"
"Madagascar","2014","All genders","Not applicable","Number","20.64068"
"Madagascar","2014","Female","Not applicable","Number","20.12802"
"Madagascar","2014","Male","Not applicable","Number","21.15414"
"Madagascar","2013","Male","Not applicable","Number","19.21008"
"Madagascar","2013","Female","Not applicable","Number","18.14077"
"Madagascar","2013","All genders","Not applicable","Number","18.6747"
"Madagascar","2009","All genders","Not applicable","Number","15.54873"
"Madagascar","2009","Female","Not applicable","Number","15.08874"
"Madagascar","2009","Male","Not applicable","Number","16.01064"
"Madagascar","2008","Male","Not applicable","Number","15.90461"
"Madagascar","2008","Female","Not applicable","Number","14.60259"
"Madagascar","2008","All genders","Not applicable","Number","15.25229"
"Malawi","2010","Female","Not applicable","Number","17.80887"
"Malawi","2010","All genders","Not applicable","Number","20.97775"
"Malawi","2010","Male","Not applicable","Number","24.15771"
"Malawi","2009","Female","Not applicable","Number","17.90185"
"Malawi","2009","Male","Not applicable","Number","25.61141"
"Malawi","2009","All genders","Not applicable","Number","21.7471"
"Malawi","2008","Female","Not applicable","Number","12.79628"
"Malawi","2008","All genders","Not applicable","Number","16.81799"
"Malawi","2008","Male","Not applicable","Number","20.86568"
"Malawi","2007","Female","Not applicable","Number","10.64985"
"Malawi","2007","Male","Not applicable","Number","19.90565"
"Malawi","2007","All genders","Not applicable","Number","15.25934"
"Malawi","2006","Female","Not applicable","Number","12.78738"
"Malawi","2006","All genders","Not applicable","Number","18.02774"
"Malawi","2006","Male","Not applicable","Number","23.31777"
"Malaysia","2014","All genders","Not applicable","Number","83.96221"
"Malaysia","2013","All genders","Not applicable","Number","84.45114"
"Malaysia","2011","All genders","Not applicable","Number","84.92701"
"Malaysia","2010","All genders","Not applicable","Number","82.87963"
"Malaysia","2009","All genders","Not applicable","Number","85.37788"
"Malaysia","2008","All genders","Not applicable","Number","86.09341"
"Malaysia","2007","All genders","Not applicable","Number","85.95656"
"Malaysia","2006","All genders","Not applicable","Number","85.69569"
"Malaysia","2005","All genders","Not applicable","Number","85.24656"
"Malaysia","2004","All genders","Not applicable","Number","86.00366"
"Maldives","2014","Male","Not applicable","Number","89.01065"
"Maldives","2014","All genders","Not applicable","Number","90.48063"
"Maldives","2014","Female","Not applicable","Number","92.01654"
"Maldives","2013","Male","Not applicable","Number","92.53644"
"Maldives","2013","Female","Not applicable","Number","98.13456"
"Maldives","2013","All genders","Not applicable","Number","95.26866"
"Mali","2014","Male","Not applicable","Number","27.26609"
"Mali","2014","All genders","Not applicable","Number","23.58866"
"Mali","2014","Female","Not applicable","Number","19.74483"
"Mali","2013","Male","Not applicable","Number","21.1897"
"Mali","2013","Female","Not applicable","Number","14.99457"
"Mali","2013","All genders","Not applicable","Number","18.16064"
"Mali","2012","Male","Not applicable","Number","22.13596"
"Mali","2012","All genders","Not applicable","Number","19.06055"
"Mali","2012","Female","Not applicable","Number","15.84468"
"Mali","2010","Male","Not applicable","Number","29.54353"
"Mali","2010","Female","Not applicable","Number","18.90757"
"Mali","2010","All genders","Not applicable","Number","24.34879"
"Mali","2009","Male","Not applicable","Number","30.34612"
"Mali","2009","All genders","Not applicable","Number","25.03656"
"Mali","2009","Female","Not applicable","Number","19.47329"
"Mali","2008","Male","Not applicable","Number","33.944"
"Mali","2008","Female","Not applicable","Number","20.5116"
"Mali","2008","All genders","Not applicable","Number","27.38473"
"Mali","2007","All genders","Not applicable","Number","25.87565"
"Marshall Islands","2012","Female","Not applicable","Number","54.03377"
"Marshall Islands","2012","All genders","Not applicable","Number","47.93907"
"Marshall Islands","2012","Male","Not applicable","Number","42.36707"
"Mauritania","2014","Female","Not applicable","Number","17.24417"
"Mauritania","2014","All genders","Not applicable","Number","15.68584"
"Mauritania","2014","Male","Not applicable","Number","14.16997"
"Mauritania","2013","All genders","Not applicable","Number","16.08892"
"Mauritania","2013","Male","Not applicable","Number","14.52574"
"Mauritania","2013","Female","Not applicable","Number","17.69777"
"Mauritius","2014","All genders","Not applicable","Number","75.23068"
"Mauritius","2014","Male","Not applicable","Number","71.12148"
"Mauritius","2014","Female","Not applicable","Number","79.47992"
"Mauritius","2012","All genders","Not applicable","Number","86.11412"
"Mauritius","2012","Female","Not applicable","Number","89.38998"
"Mauritius","2012","Male","Not applicable","Number","82.93377"
"Mauritius","2007","All genders","Not applicable","Number","60.62734"
"Mauritius","2007","Male","Not applicable","Number","53.15462"
"Mauritius","2007","Female","Not applicable","Number","68.25426"
"Mauritius","2006","All genders","Not applicable","Number","59.7274"
"Mauritius","2006","Female","Not applicable","Number","66.73494"
"Mauritius","2006","Male","Not applicable","Number","52.8699"
"Mauritius","2005","All genders","Not applicable","Number","57.68208"
"Mauritius","2005","Male","Not applicable","Number","51.67136"
"Mauritius","2005","Female","Not applicable","Number","63.8302"
"Mauritius","2004","All genders","Not applicable","Number","56.58323"
"Mauritius","2004","Female","Not applicable","Number","62.7703"
"Mauritius","2004","Male","Not applicable","Number","50.53124"
"Micronesia, Federated States of","2014","All genders","Not applicable","Number","59.79223"
"Moldova","2013","Male","Not applicable","Number","88.87575"
"Moldova","2013","Female","Not applicable","Number","90.02412"
"Moldova","2013","All genders","Not applicable","Number","89.43866"
"Moldova","2012","All genders","Not applicable","Number","89.34521"
"Moldova","2012","Female","Not applicable","Number","89.10731"
"Moldova","2012","Male","Not applicable","Number","89.57294"
"Moldova","2011","All genders","Not applicable","Number","92.27848"
"Moldova","2011","Male","Not applicable","Number","93.09921"
"Moldova","2011","Female","Not applicable","Number","91.42528"
"Moldova","2010","All genders","Not applicable","Number","89.34173"
"Moldova","2010","Female","Not applicable","Number","90.32393"
"Moldova","2010","Male","Not applicable","Number","88.39615"
"Moldova","2009","All genders","Not applicable","Number","88.2326"
"Moldova","2009","Male","Not applicable","Number","86.96555"
"Moldova","2009","Female","Not applicable","Number","89.54897"
"Moldova","2008","All genders","Not applicable","Number","87.81477"
"Moldova","2008","Male","Not applicable","Number","87.54224"
"Moldova","2008","Female","Not applicable","Number","88.09852"
"Moldova","2007","Male","Not applicable","Number","88.00281"
"Moldova","2007","Female","Not applicable","Number","89.2608"
"Moldova","2007","All genders","Not applicable","Number","88.62273"
"Mongolia","2014","All genders","Not applicable","Number","113.00063"
"Mongolia","2014","Female","Not applicable","Number","114.23891"
"Mongolia","2014","Male","Not applicable","Number","111.78417"
"Mongolia","2013","Male","Not applicable","Number","103.79384"
"Mongolia","2013","Female","Not applicable","Number","107.76815"
"Mongolia","2013","All genders","Not applicable","Number","105.76388"
"Mongolia","2012","Female","Not applicable","Number","91.6884"
"Mongolia","2012","All genders","Not applicable","Number","90.74345"
"Mongolia","2012","Male","Not applicable","Number","89.8152"
"Mongolia","2011","Female","Not applicable","Number","109.4387"
"Mongolia","2011","Male","Not applicable","Number","102.48515"
"Mongolia","2011","All genders","Not applicable","Number","105.92902"
"Mongolia","2010","Female","Not applicable","Number","107.44685"
"Mongolia","2010","All genders","Not applicable","Number","104.84674"
"Mongolia","2010","Male","Not applicable","Number","102.29769"
"Mongolia","2009","All genders","Not applicable","Number","89.0812"
"Mongolia","2009","Male","Not applicable","Number","84.6589"
"Mongolia","2009","Female","Not applicable","Number","93.60138"
"Mongolia","2008","All genders","Not applicable","Number","88.42046"
"Mongolia","2008","Female","Not applicable","Number","91.25106"
"Mongolia","2008","Male","Not applicable","Number","85.64117"
"Mongolia","2007","All genders","Not applicable","Number","93.69847"
"Mongolia","2007","Male","Not applicable","Number","89.77088"
"Mongolia","2007","Female","Not applicable","Number","97.67833"
"Mongolia","2006","All genders","Not applicable","Number","94.33796"
"Mongolia","2006","Female","Not applicable","Number","97.88816"
"Mongolia","2006","Male","Not applicable","Number","90.81857"
"Montenegro","2015","All genders","Not applicable","Number","89.85021"
"Montenegro","2015","Male","Not applicable","Number","86.63114"
"Montenegro","2015","Female","Not applicable","Number","93.29859"
"Montenegro","2012","All genders","Not applicable","Number","97.54573"
"Montenegro","2012","Female","Not applicable","Number","98.34651"
"Montenegro","2012","Male","Not applicable","Number","96.79731"
"Morocco","2014","All genders","Not applicable","Number","47.42844"
"Morocco","2014","Female","Not applicable","Number","48.18961"
"Morocco","2014","Male","Not applicable","Number","46.70485"
"Morocco","2013","Male","Not applicable","Number","47.32471"
"Morocco","2013","Female","Not applicable","Number","49.28798"
"Morocco","2013","All genders","Not applicable","Number","48.28231"
"Morocco","2011","All genders","Not applicable","Number","46.05741"
"Morocco","2011","Female","Not applicable","Number","46.95995"
"Morocco","2011","Male","Not applicable","Number","45.19344"
"Morocco","2010","Male","Not applicable","Number","41.63205"
"Morocco","2010","Female","Not applicable","Number","43.49206"
"Morocco","2010","All genders","Not applicable","Number","42.54299"
"Mozambique","2013","All genders","Not applicable","Number","21.95415"
"Mozambique","2013","Female","Not applicable","Number","21.0183"
"Mozambique","2013","Male","Not applicable","Number","22.89378"
"Mozambique","2011","All genders","Not applicable","Number","18.94494"
"Mozambique","2011","Male","Not applicable","Number","20.85123"
"Mozambique","2011","Female","Not applicable","Number","17.04896"
"Mozambique","2010","All genders","Not applicable","Number","19.95702"
"Mozambique","2010","Female","Not applicable","Number","17.66357"
"Mozambique","2010","Male","Not applicable","Number","22.26314"
"Mozambique","2009","All genders","Not applicable","Number","14.57529"
"Mozambique","2009","Male","Not applicable","Number","17.06394"
"Mozambique","2009","Female","Not applicable","Number","12.10187"
"Mozambique","2008","All genders","Not applicable","Number","13.40414"
"Mozambique","2008","Female","Not applicable","Number","15.301"
"Mozambique","2008","Male","Not applicable","Number","11.49641"
"Mozambique","2007","All genders","Not applicable","Number","11.39497"
"Mozambique","2007","Male","Not applicable","Number","14.02482"
"Mozambique","2007","Female","Not applicable","Number","8.77655"
"Mozambique","2006","Female","Not applicable","Number","7.11329"
"Mozambique","2006","All genders","Not applicable","Number","9.34352"
"Mozambique","2006","Male","Not applicable","Number","11.57948"
"Myanmar","2014","Female","Not applicable","Number","46.32715"
"Myanmar","2014","All genders","Not applicable","Number","44.90872"
"Myanmar","2014","Male","Not applicable","Number","43.50006"
"Myanmar","2010","Male","Not applicable","Number","41.07488"
"Myanmar","2010","Female","Not applicable","Number","42.84672"
"Myanmar","2010","All genders","Not applicable","Number","41.95965"
"Myanmar","2009","All genders","Not applicable","Number","40.84711"
"Myanmar","2009","Female","Not applicable","Number","40.96626"
"Myanmar","2009","Male","Not applicable","Number","40.72804"
"Myanmar","2008","Male","Not applicable","Number","41.96806"
"Myanmar","2008","Female","Not applicable","Number","40.86009"
"Myanmar","2008","All genders","Not applicable","Number","41.414"
"Myanmar","2007","Male","Not applicable","Number","40.11604"
"Myanmar","2007","All genders","Not applicable","Number","40.44633"
"Myanmar","2007","Female","Not applicable","Number","40.77647"
"Myanmar","2006","Male","Not applicable","Number","40.57741"
"Myanmar","2006","Female","Not applicable","Number","37.9403"
"Myanmar","2006","All genders","Not applicable","Number","39.25913"
"Namibia","2013","All genders","Not applicable","Number","35.53433"
"Nepal","2015","All genders","Not applicable","Number","78.35595"
"Nepal","2015","Male","Not applicable","Number","75.0117"
"Nepal","2015","Female","Not applicable","Number","81.8817"
"Nepal","2014","Male","Not applicable","Number","72.47572"
"Nepal","2014","Female","Not applicable","Number","77.90273"
"Nepal","2014","All genders","Not applicable","Number","75.12175"
"Nepal","2013","Male","Not applicable","Number","69.28184"
"Nepal","2013","All genders","Not applicable","Number","70.57473"
"Nepal","2013","Female","Not applicable","Number","71.9284"
"Nepal","2012","Male","Not applicable","Number","64.15046"
"Nepal","2012","Female","Not applicable","Number","65.13067"
"Nepal","2012","All genders","Not applicable","Number","64.63022"
"Nepal","2011","Male","Not applicable","Number","63.2935"
"Nepal","2011","All genders","Not applicable","Number","62.27595"
"Nepal","2011","Female","Not applicable","Number","61.2247"
"Nepal","2010","Male","Not applicable","Number","59.60929"
"Nepal","2010","Female","Not applicable","Number","53.68322"
"Nepal","2010","All genders","Not applicable","Number","56.66777"
"Nepal","2009","Male","Not applicable","Number","60.59452"
"Nepal","2009","All genders","Not applicable","Number","52.47625"
"Nepal","2009","Female","Not applicable","Number","44.35494"
"Nicaragua","2010","Male","Not applicable","Number","37.37763"
"Nicaragua","2010","Female","Not applicable","Number","53.74791"
"Nicaragua","2010","All genders","Not applicable","Number","45.35648"
"Nicaragua","2008","Male","Not applicable","Number","37.93606"
"Nicaragua","2008","All genders","Not applicable","Number","45.89025"
"Nicaragua","2008","Female","Not applicable","Number","54.21091"
"Nicaragua","2007","Male","Not applicable","Number","36.81407"
"Nicaragua","2007","Female","Not applicable","Number","52.04615"
"Nicaragua","2007","All genders","Not applicable","Number","44.26209"
"Nicaragua","2006","Male","Not applicable","Number","35.69044"
"Nicaragua","2006","All genders","Not applicable","Number","43.04673"
"Nicaragua","2006","Female","Not applicable","Number","50.73734"
"Niger","2014","Male","Not applicable","Number","7.50151"
"Niger","2014","Female","Not applicable","Number","5.08294"
