"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Armenia","2010","All genders","Not applicable","Number","109.40903"
"Armenia","2010","Female","Not applicable","Number","119.83382"
"Armenia","2009","Male","Not applicable","Number","85.97237"
"Armenia","2009","Female","Not applicable","Number","108.15212"
"Armenia","2009","All genders","Not applicable","Number","95.72857"
"Armenia","2008","Male","Not applicable","Number","86.03726"
"Armenia","2008","All genders","Not applicable","Number","96.47417"
"Armenia","2008","Female","Not applicable","Number","109.50473"
"Armenia","2007","All genders","Not applicable","Number","92.8129"
"Armenia","2007","Female","Not applicable","Number","106.98988"
"Armenia","2007","Male","Not applicable","Number","81.00883"
"Armenia","2006","All genders","Not applicable","Number","95.01986"
"Armenia","2006","Male","Not applicable","Number","89.23418"
"Armenia","2006","Female","Not applicable","Number","101.67485"
"Armenia","2005","All genders","Not applicable","Number","90.36467"
"Armenia","2005","Female","Not applicable","Number","94.48937"
"Armenia","2005","Male","Not applicable","Number","86.64626"
"Armenia","2004","Female","Not applicable","Number","85.32965"
"Armenia","2004","Male","Not applicable","Number","78.42081"
"Armenia","2004","All genders","Not applicable","Number","81.74956"
"Aruba","2014","Female","Not applicable","Number","50.81522"
"Aruba","2014","All genders","Not applicable","Number","51.64761"
"Aruba","2014","Male","Not applicable","Number","52.46338"
"Aruba","2013","All genders","Not applicable","Number","55.65975"
"Aruba","2013","Male","Not applicable","Number","54.05046"
"Aruba","2013","Female","Not applicable","Number","57.2973"
"Aruba","2010","Male","Not applicable","Number","62.29086"
"Aruba","2010","Female","Not applicable","Number","72.48322"
"Aruba","2010","All genders","Not applicable","Number","67.27989"
"Aruba","2009","Male","Not applicable","Number","72.61146"
"Aruba","2009","All genders","Not applicable","Number","78.3485"
"Aruba","2009","Female","Not applicable","Number","84.32935"
"Aruba","2007","Male","Not applicable","Number","81.71501"
"Aruba","2007","Female","Not applicable","Number","88.83184"
"Aruba","2007","All genders","Not applicable","Number","85.24173"
"Aruba","2006","Male","Not applicable","Number","75.0646"
"Aruba","2006","All genders","Not applicable","Number","78.33656"
"Aruba","2006","Female","Not applicable","Number","81.59588"
"Azerbaijan","2013","Female","Not applicable","Number","95.17812"
"Azerbaijan","2013","All genders","Not applicable","Number","84.1778"
"Azerbaijan","2013","Male","Not applicable","Number","74.23674"
"Azerbaijan","2012","Female","Not applicable","Number","92.74506"
"Azerbaijan","2012","Male","Not applicable","Number","96.51111"
"Azerbaijan","2012","All genders","Not applicable","Number","94.73095"
"Azerbaijan","2011","Female","Not applicable","Number","82.09219"
"Azerbaijan","2011","Male","Not applicable","Number","83.59597"
"Azerbaijan","2011","All genders","Not applicable","Number","82.87681"
"Azerbaijan","2010","Male","Not applicable","Number","94.87213"
"Azerbaijan","2010","All genders","Not applicable","Number","93.12104"
"Azerbaijan","2010","Female","Not applicable","Number","91.21372"
"Azerbaijan","2009","Male","Not applicable","Number","87.54218"
"Azerbaijan","2009","Female","Not applicable","Number","87.45978"
"Azerbaijan","2009","All genders","Not applicable","Number","87.50261"
"Azerbaijan","2008","Male","Not applicable","Number","85.63886"
"Azerbaijan","2008","All genders","Not applicable","Number","84.84308"
"Azerbaijan","2008","Female","Not applicable","Number","83.9974"
